	rtt_times_environment_frompresent	meanTraitRate_environment
1	113	778249.375338874
2	111.858686848485	735398.073882853
3	110.71737369697	723556.02047814
4	109.576060545455	566284.568636131
5	108.434747393939	566568.534092466
6	107.293434242424	568013.829452939
7	106.152121090909	565171.602097492
8	105.010807939394	478006.001384215
9	103.869494787879	477343.553608919
10	102.728181636364	477662.643925778
11	101.586868484848	476945.881464747
12	100.445555333333	416259.063035223
13	99.3042421818182	412990.653009163
14	98.162929030303	410456.11754196
15	97.0216158787879	409368.651735378
16	95.8803027272727	480041.038146375
17	94.7389895757576	428138.823040309
18	93.5976764242424	425447.67897449
19	92.4563632727273	422892.881126122
20	91.3150501212121	419777.464812456
21	90.173736969697	382123.442162207
22	89.0324238181818	380162.461637187
23	87.8911106666667	375395.840720088
24	86.7497975151515	371685.574257239
25	85.6084843636364	339843.229020428
26	84.4671712121212	337323.965160106
27	83.3258580606061	311706.405947646
28	82.1845449090909	315260.07442916
29	81.0432317575758	282960.520204792
30	79.9019186060606	286053.286887045
31	78.7606054545455	289207.682216211
32	77.6192923030303	292056.54843764
33	76.4779791515151	278775.880451975
34	75.336666	281316.345868197
35	74.1953528484848	283876.058772622
36	73.0540396969697	286005.377979267
37	71.9127265454545	276173.930597031
38	70.7714133939394	279147.323518071
39	69.6301002424242	281823.529382856
40	68.4887870909091	258365.636719214
41	67.3474739393939	260722.310456412
42	66.2061607878788	251689.368426755
43	65.0648476363636	242040.498244
44	63.9235344848485	235092.373741851
45	62.7822213333333	227376.694233304
46	61.6409081818182	217581.524917824
47	60.499595030303	214160.606361892
48	59.3582818787879	218418.303496091
49	58.2169687272727	222133.754719467
50	57.0756555757576	219729.58556622
51	55.9343424242424	230509.945867145
52	54.7930292727273	215898.75362606
53	53.6517161212121	206737.129051778
54	52.510402969697	206397.408715694
55	51.3690898181818	186028.187851753
56	50.2277766666667	180772.150926187
57	49.0864635151515	176208.318238161
58	47.9451503636364	170263.604690955
59	46.8038372121212	170962.480838825
60	45.6625240606061	184560.548888569
61	44.5212109090909	185743.724984678
62	43.3798977575758	182976.889166285
63	42.2385846060606	180497.040863867
64	41.0972714545454	179449.862389121
65	39.9559583030303	179553.075455803
66	38.8146451515152	183543.634209731
67	37.673332	182853.701695376
68	36.5320188484848	184938.032386211
69	35.3907056969697	191197.407021971
70	34.2493925454545	192118.307794222
71	33.1080793939394	198941.272756357
72	31.9667662424242	202473.316802126
73	30.8254530909091	203156.607877574
74	29.6841399393939	222938.243334637
75	28.5428267878788	233250.788473046
76	27.4015136363636	230401.038115374
77	26.2602004848485	242339.764385085
78	25.1188873333333	244441.343693619
79	23.9775741818182	247435.12138698
80	22.836261030303	257219.552754356
81	21.6949478787879	288705.262184452
82	20.5536347272727	292912.487340407
83	19.4123215757576	300032.120006662
84	18.2710084242424	309635.395620476
85	17.1296952727273	308353.026258626
86	15.9883821212121	326803.643591794
87	14.847068969697	368323.586173678
88	13.7057558181818	376370.154400106
89	12.5644426666667	390553.224439473
90	11.4231295151515	403987.016323844
91	10.2818163636364	409105.337993906
92	9.1405032121212	431373.565728894
93	7.99919006060605	448284.423822625
94	6.8578769090909	472199.246111019
95	5.71656375757576	498038.50786973
96	4.57525060606061	524361.105888364
97	3.43393745454546	609982.850988155
98	2.29262430303029	678896.644708191
99	1.15131115151515	982086.681245424
100	0.00999799999999595	1414974.30453221
